id,type,name,creator,starring,year,rating,time,genres,country,describle
81416533,Movie,Heart of Stone,,"Gal Gadot, Jamie Dornan, Alia Bhatt",2023,TV-PG,125 min,"Drama Movies ,Action & Adventure Movies ,Spy Movies ",United States,An intelligence operative for a shadowy global peacekeeping agency races to stop a hacker from stealing its most valuable — and dangerous — weapon.
80991406,Movie,Johnny English Strikes Again,,"Rowan Atkinson, Ben Miller, Emma Thompson",2018,TV-PG,88 min,"Family Movies ,Comedy Movies ,Action & Adventure Movies ,Spy Movies ",United States,"After a cyberattack exposes every undercover agent in Britain, a certain tech-challenged former agent emerges from retirement to catch the hacker."
81644420,Movie,Hunt,,"Lee Jung-jae, Jung Woo-sung, Jeon Hye-jin",2022,TV-14,125 min,"Drama Movies ,Action & Adventure Movies ,Spy Movies",South Korea,"As a pair of national security agents hunt a North Korean spy planted in their agency, they begin to uncover a truth with nation-shaking consequences."
70208104,Movie,Safe House,,"Denzel Washington, Ryan Reynolds, Vera Farmiga",2012,TV-14,114 min,"Action & Adventure Movies ,Spy Movies ",United States,CIA operative Matt Weston must get a dangerous criminal out of an agency safe house that's come under attack and get him to a more secure location.
70297761,Movie,Commitment,,"Choi Seung-hyun, Han Ye-ri, Yoon Je-moon",2013,TV-14,112 min,"Action & Adventure Movies ,Spy Movies",South Korea,"After taking on a spying mission to free his sister from a labor camp, a 19-year-old North Korean becomes a target of his own government."
81030199,Movie,Switch,,"Andy Lau, Lin Chi-ling, Zhang Jingchu",2013,TV-MA,112 min,"Action & Adventure Movies ,Spy Movies ",China,"Thieves, cops, organized criminals and rollerblading assassins fight tooth and nail around the world for a valuable ancient painting."
81478004,Movie,Yaksha: Ruthless Operations,,"Sul Kyung-gu, Park Hae-soo, Hiroyuki Ikeuchi",2022,TV-14,125 min,"Crime Movies ,Action & Adventure Movies ,Spy Movies",South Korea,"On assignment in a perilous city to inspect a Black Ops team and its notorious leader, an upstanding prosecutor steps into a deadly war between spies."
81387252,Movie,Codename: Tiranga,,"Parineeti Chopra, Harrdy Sandhu, Sharad Kelkar",2022,TV-14,134 min,"Bollywood Movies ,Action & Adventure Movies ,Spy Movies",India,"Tasked with capturing a wanted criminal, a fierce undercover agent wrestles with perilously high stakes when her heart is pulled into the mission."
80170988,Movie,Atomic Blonde,,"Charlize Theron, James McAvoy, Eddie Marsan",2017,TV-MA,114 min,"Action & Adventure Movies ,Spy Movies ",United States,"After another spy's murder, MI6 operative Lorraine Broughton must find a missing list of double agents, identify a traitor and escape with her life."
70284278,Movie,Jack Ryan: Shadow Recruit,,"Chris Pine, Keira Knightley, Kevin Costner",2014,TV-PG,106 min,"Action & Adventure Movies ,Spy Movies ",United States,"While working undercover on Wall Street, CIA analyst Jack Ryan uncovers a terrorist plot to bring down the American economy."
70270715,Movie,The Berlin File,,"Ha Jung-woo, Han Seok-kyu, Ryoo Seung-bum",2013,TV-14,120 min,"Action & Adventure Movies ,Spy Movies",South Korea,"When an illicit arms deal goes bad, North Korean spy Pyo Jong-seong finds himself targeted not just by the South Koreans but also his own bosses."
80080490,Movie,The Throwaways,,"Sam Huntington, Katie McGrath, Kevin Dillon",2015,TV-14,87 min,"Comedy Movies ,Action & Adventure Movies ,Spy Movies ",United States,"Given a choice between assisting the CIA or life in prison, a notorious hacker agrees to help the government and recruits a team of misfits to assist."
80065809,Movie,IRIS New Generation: The Movie,,"Jang Hyuk, Lee Da-hae, Yoon Du-jun",2013,TV-14,118 min,"Crime Movies ,Action & Adventure Movies ,Spy Movies",South Korea,A team of covert security operatives must stop terrorist assassins from sabotaging a peace conference between North Korea and South Korea.
80232040,Movie,The Spy Who Dumped Me,,"Mila Kunis, Kate McKinnon, Sam Heughan",2018,TV-MA,116 min,"Comedy Movies ,Action & Adventure Movies ,Spy Movies ",United States,"Dumped and deceived, Audrey discovers her ex is a spy. Fortunately, best friend Morgan has her back as they set off on a mission to save the world."
80159955,Movie,Force 2,,"John Abraham, Sonakshi Sinha, Tahir Raj Bhasin",2016,TV-MA,123 min,"Bollywood Movies ,Action & Adventure Movies ,Spy Movies",India,"An ex-cop investigates the death of his best friend and two other spies, killings that lead to a mole operating from India's embassy in Budapest."
81034600,Movie,Shadow,,"Deng Chao, Sun Li, Zheng Kai",2018,TV-14,115 min,"Military Movies ,Drama Movies ,Martial Arts Movies ,Movies Based on Books ,Period Pieces ,Action & Adventure Movies ",China,"As three kingdoms struggle for control of a walled city, a figure with a rare power spins a web of intrigue that entangles a king's court."
80218506,Movie,The Woman King,,"Viola Davis, Thuso Mbedu, Lashana Lynch",2022,TV-14,135 min,"Military Movies ,Drama Movies ,Period Pieces ,Action & Adventure Movies ,Social Issue Dramas ",United States,"In the 1820s, a battle-tested general trains a new generation of female warriors to protect their kingdom from a powerful foe. Inspired by true events."
81110665,Movie,Midway,,"Ed Skrein, Patrick Wilson, Woody Harrelson",2019,TV-14,138 min,"Military Movies ,Drama Movies ,Movies Based on Real Life ,Action & Adventure Movies ",United States,A gritty United States Navy must face off against an imposing Imperial Japanese Navy in a decisive WWII battle for control of the Pacific.
81041495,Movie,Mosul,,"Suhail Dabbach, Adam Bessa, Is'haq Elias",2020,TV-14,102 min,"Middle Eastern Movies ,Military Movies ,Drama Movies ,Movies Based on Real Life ,Action & Adventure Movies",,"After his life is saved by a rogue Iraqi squadron, a young police officer joins them in their fight against ISIS in a decimated Mosul."
81557402,Movie,Blood & Gold,,"Robert Maaser, Marie Hacke, Alexander Scheer",2023,TV-MA,98 min,"Military Movies ,Drama Movies ,Action & Adventure Movies",Germany,"At the bitter end of WWII, a German deserter and a young woman are drawn into bloody battle with a group of Nazis hunting for hidden gold."
80226234,Movie,Steel Rain,,"Jung Woo-sung, Kwak Do-won, Kim Gap-soo",2018,TV-MA,139 min,"Military Movies ,Drama Movies ,Action & Adventure Movies",South Korea,"Amid a coup, a North Korean agent escapes south with the country's injured leader in an attempt to keep him alive and prevent a Korean war."
80196613,Movie,12 Strong,,"Chris Hemsworth, Michael Shannon, Michael Peña",2018,TV-MA,129 min,"Military Movies ,Drama Movies ,Movies Based on Books ,Movies Based on Real Life ,Action & Adventure Movies ",United States,"Following 9/11, a dozen US soldiers mount up on horseback in Afghanistan to help a local warlord take on a mutual enemy. Inspired by true events."
80220426,Movie,Black Crab,,"Noomi Rapace, Jakob Oftebro, Erik Enge",2022,TV-14,114 min,"Military Movies ,Movies Based on Books ,Action & Adventure Movies",Sweden,"To end an apocalyptic war and save her daughter, a reluctant soldier embarks on a desperate mission to cross a frozen sea carrying a top-secret cargo."
